ID,Seek_Help,Anonymity,Leave,Mental_Health_Consequence,Phys_Health_Consequence,Coworkers,Supervisor,Willingness_Mental_Health,Phys_Health_Interview,Mental_vs_Physical,Obs_Consequence,Age_Tier
33,Yes,Yes,Very easy,Maybe,No,Some of them,Some of them,Maybe,Yes,Don't know,No,Matured_Young
34,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Yes,No,Matured_Young
35,No,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,Young
36,No,Don't know,Very easy,Yes,Maybe,Some of them,No,No,No,Don't know,No,Young
37,No,Don't know,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,No,No,Matured_Young
38,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No,Middle_Aged
39,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Matured_Young
40,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Yes,No,Yes,Young
41,Yes,Don't know,Somewhat difficult,Yes,Yes,Some of them,No,No,Maybe,Don't know,No,Matured_Young
42,No,Yes,Very difficult,Maybe,No,Some of them,No,No,No,Yes,No,Young
43,No,Don't know,Somewhat difficult,Yes,Maybe,No,Some of them,No,No,No,No,Young
44,No,Don't know,Don't know,No,No,No,No,No,Maybe,Don't know,No,Young
45,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Matured_Young
46,No,Don't know,Don't know,No,Maybe,Some of them,Yes,Maybe,Yes,Don't know,No,Young
47,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know,No,Matured_Young
48,No,Don't know,Don't know,No,No,Yes,Yes,No,No,Yes,No,Young
49,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,Young
50,No,Yes,Very difficult,Maybe,No,No,No,No,Maybe,Don't know,No,Young
51,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,Matured_Young
52,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,Young
53,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
54,No,Don't know,Don't know,No,No,No,No,No,Maybe,Don't know,No,Young
55,No,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No,Young
56,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,Matured_Young
57,No,Don't know,Don't know,No,Maybe,Some of them,Yes,Yes,Yes,No,No,Young
58,No,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,Young
59,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,Don't know,No,Matured_Young
60,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,No,No,Maybe,Don't know,Yes,Matured_Young
61,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,Young
62,Yes,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Young
63,No,Don't know,Very easy,Yes,No,No,No,No,No,No,Yes,Young
64,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Don't know,No,Matured_Young
65,Yes,Don't know,Don't know,Yes,Maybe,Some of them,No,No,No,No,Yes,Matured_Young
66,No,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Young
67,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,Maybe,Yes,Yes,No,Matured_Young
68,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,Young
69,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,Matured_Young
70,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Young
71,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
72,No,Yes,Somewhat difficult,Maybe,No,Yes,Yes,No,No,No,No,Young
73,Don't know,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No,Matured_Young
74,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,Matured_Young
75,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,No,No,Young
76,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No,Young
77,No,Yes,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Young
78,No,Don't know,Somewhat difficult,Yes,No,Some of them,No,No,Yes,No,No,Matured_Young
79,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,Young
80,Yes,Don't know,Don't know,No,No,Yes,Some of them,Maybe,Maybe,Yes,No,Matured_Young
81,Don't know,Don't know,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Young
82,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,No,No,Young
83,Yes,Yes,Very easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No,Young
84,No,Don't know,Don't know,Yes,No,No,No,No,Maybe,No,No,Matured_Young
85,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No,No,Young
86,No,Don't know,Very difficult,Maybe,No,Some of them,No,No,Maybe,No,Yes,Matured_Young
87,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No,Matured_Young
88,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes,Young
89,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,Matured_Young
90,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Young
91,No,Yes,Very difficult,No,No,Yes,Yes,Yes,Yes,No,No,Matured_Young
92,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,Don't know,No,Matured_Young
93,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Don't know,No,Young
94,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,Young
95,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,No,No,Young
96,Don't know,Don't know,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No,Young
97,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,No,No,Young
98,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,No,No,Matured_Young
99,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Young
100,No,No,Very difficult,Yes,No,No,No,No,Maybe,No,Yes,Young
101,Don't know,Don't know,Don't know,Maybe,Maybe,No,Some of them,No,No,Don't know,No,Matured_Young
102,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,Young
103,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Matured_Young
104,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,Young
105,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
106,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No,Matured_Young
107,No,No,Don't know,Maybe,No,Yes,Yes,No,No,Don't know,Yes,Young
108,No,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,Matured_Young
109,Yes,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Maybe,Yes,No,Matured_Young
110,Don't know,Yes,Don't know,Yes,No,No,No,No,Yes,No,No,Young
111,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,Young
112,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,Middle_Aged
113,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Matured_Young
114,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,Young
115,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,No,No,Don't know,Yes,Young
116,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,No,No,Young
117,Yes,Yes,Very easy,Maybe,No,Some of them,Yes,No,No,Don't know,No,Young
118,No,Yes,Very easy,No,No,Some of them,No,No,No,Don't know,No,Young
119,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,Matured_Young
120,Yes,Don't know,Don't know,Yes,Yes,No,No,No,No,Don't know,No,Young
121,No,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,Young
122,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No,Matured_Young
123,No,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No,Matured_Young
124,No,Don't know,Very difficult,Maybe,No,Some of them,Yes,No,Maybe,No,Yes,Young
125,Yes,Yes,Don't know,Yes,No,Some of them,No,No,Yes,Don't know,No,Young
126,No,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,Young
127,Yes,Yes,Don't know,Yes,No,No,Yes,No,No,Don't know,No,Matured_Young
128,No,Don't know,Somewhat easy,Maybe,Maybe,No,No,No,No,Yes,No,Young
129,No,Don't know,Somewhat easy,Yes,Yes,Some of them,No,No,No,Don't know,No,Young
130,No,Don't know,Very easy,Maybe,No,Yes,Some of them,No,Yes,No,No,Matured_Young
131,No,Don't know,Very difficult,Maybe,No,Yes,Some of them,No,Yes,Don't know,No,Matured_Young
132,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,Young
133,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,No,No,Matured_Young
134,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,Young
135,No,Don't know,Don't know,Yes,Maybe,No,No,No,No,Don't know,No,Matured_Young
136,No,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Young
137,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Don't know,No,Matured_Young
138,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,No,Don't know,No,Young
139,No,Don't know,Somewhat easy,No,No,Some of them,Some of them,No,No,Don't know,No,Young
140,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
141,Yes,Yes,Very difficult,Yes,Yes,Some of them,No,No,Maybe,Yes,No,Matured_Young
142,Don't know,Don't know,Don't know,Yes,No,Some of them,No,No,Maybe,Don't know,No,Matured_Young
143,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Young
144,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,Young
145,Yes,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Yes,Maybe,Maybe,Don't know,No,Matured_Young
146,No,Yes,Don't know,Maybe,Maybe,No,Some of them,No,No,Don't know,No,Young
147,No,No,Somewhat easy,Yes,Yes,No,No,No,No,No,No,Young
148,Yes,Don't know,Somewhat easy,Yes,No,Some of them,No,No,No,No,Yes,Young
149,Don't know,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No,Young
150,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,Young
151,No,Don't know,Very easy,No,No,Some of them,Some of them,No,Maybe,No,No,Matured_Young
152,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No,Young
153,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,Matured_Young
154,Yes,Yes,Somewhat difficult,Yes,Maybe,Some of them,No,No,Yes,No,Yes,Matured_Young
155,Don't know,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No,Maybe,No,No,Young
156,Don't know,Don't know,Don't know,No,No,No,Some of them,No,Maybe,Don't know,No,Young
157,No,Don't know,Don't know,Yes,Maybe,Some of them,Yes,No,Maybe,No,No,Young
158,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Yes,No,No,Don't know,Yes,Young
159,No,Don't know,Very easy,Maybe,No,Some of them,No,No,No,Don't know,Yes,Young
160,Yes,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,Yes,Matured_Young
161,No,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,No,Don't know,No,Young
162,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,Young
163,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,Young
164,Yes,Yes,Very difficult,No,No,Some of them,Yes,No,Yes,Yes,No,Matured_Young
165,No,Yes,Somewhat easy,No,No,Yes,Yes,No,Maybe,Yes,No,Young
166,No,Don't know,Very easy,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,Matured_Young
167,No,Don't know,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,Matured_Young
168,No,Don't know,Very difficult,Yes,No,No,No,No,Maybe,No,No,Young
169,Don't know,Don't know,Very easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,Young
170,Don't know,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Don't know,No,Young
171,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,Young
172,No,Don't know,Very difficult,Yes,Maybe,No,No,Maybe,Maybe,No,No,Young
173,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No,Young
174,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,No,No,Matured_Young
175,Don't know,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No,Young
176,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,Young
177,Don't know,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,Yes,Matured_Young
178,No,Yes,Somewhat difficult,No,No,Yes,Yes,No,No,Yes,No,Middle_Aged
179,No,Don't know,Very easy,No,No,Yes,Yes,No,Maybe,Don't know,No,Matured_Young
180,No,No,Don't know,Maybe,Maybe,No,Yes,Maybe,Yes,No,No,Young
181,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Young
182,Don't know,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,Young
183,Don't know,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,No,Don't know,No,Middle_Aged
184,Don't know,Don't know,Very difficult,Yes,Maybe,No,No,No,No,No,No,Matured_Young
185,No,Don't know,Don't know,Yes,No,Some of them,No,Maybe,Yes,No,No,Matured_Young
186,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,Maybe,Yes,Yes,No,Young
187,No,Don't know,Somewhat easy,No,No,Some of them,No,No,Maybe,Yes,No,Young
188,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,Young
189,No,Yes,Somewhat easy,Maybe,No,No,No,No,No,Don't know,No,Matured_Young
190,No,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,Yes,Matured_Young
191,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,No,No,Young
192,No,Don't know,Don't know,Yes,Maybe,No,No,No,Maybe,Don't know,No,Young
193,No,Yes,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
194,No,Don't know,Very difficult,Yes,Yes,Some of them,No,No,No,No,Yes,Matured_Young
195,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,Young
196,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know,No,Matured_Young
197,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No,Young
198,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Yes,No,Young
199,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No,Young
200,No,Don't know,Very easy,No,No,Some of them,Some of them,No,No,Yes,No,Young
201,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No,Matured_Young
202,No,Don't know,Very difficult,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,Matured_Young
203,No,Don't know,Very difficult,Yes,No,No,No,No,Yes,Don't know,No,Matured_Young
204,Don't know,Don't know,Very easy,No,No,Yes,Yes,No,No,Yes,No,Matured_Young
205,No,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,No,Yes,Matured_Young
206,No,Don't know,Somewhat difficult,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,Young
207,No,Yes,Somewhat easy,Maybe,No,Yes,Yes,No,Maybe,Don't know,No,Young
208,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Young
209,No,No,Very easy,Yes,Maybe,No,No,No,Maybe,Don't know,No,Young
210,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Matured_Young
211,No,Don't know,Don't know,Yes,Maybe,Some of them,Yes,No,Maybe,Don't know,No,Matured_Young
212,No,Don't know,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,Young
213,No,No,Don't know,Yes,Maybe,Some of them,Some of them,No,Maybe,No,Yes,Matured_Young
214,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,No,Matured_Young
215,Don't know,Don't know,Very difficult,No,No,Some of them,No,No,No,Don't know,No,Young
216,No,Yes,Very difficult,No,No,Some of them,Yes,Maybe,Yes,Yes,No,Young
217,Don't know,Yes,Very easy,No,No,Some of them,Some of them,No,No,Yes,No,Young
218,Don't know,Don't know,Somewhat difficult,Maybe,No,Some of them,No,No,No,Don't know,No,Young
219,No,Don't know,Very easy,Yes,No,No,Some of them,No,No,Don't know,No,Matured_Young
220,No,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Matured_Young
221,No,Don't know,Don't know,No,No,Yes,Yes,Yes,Yes,Don't know,No,Matured_Young
222,No,Don't know,Don't know,No,No,Some of them,Some of them,No,Maybe,Don't know,No,Young
223,No,Yes,Very difficult,Yes,No,No,Some of them,No,No,No,No,Young
224,Don't know,Don't know,Don't know,No,No,No,Yes,No,Yes,Yes,No,Young
225,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,Young
226,No,Don't know,Very difficult,No,No,Some of them,Yes,No,Maybe,Yes,No,Matured_Young
227,Yes,Don't know,Somewhat difficult,Yes,Yes,No,No,No,Maybe,Yes,No,Matured_Young
228,Don't know,Don't know,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,Yes,No,Young
229,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,Young
230,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,Yes,Matured_Young
231,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,Maybe,Maybe,No,No,Matured_Young
232,Don't know,Don't know,Very difficult,Yes,No,No,No,No,Maybe,No,No,Matured_Young
233,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Yes,No,Maybe,No,No,Matured_Young
234,Don't know,Yes,Somewhat easy,No,No,Some of them,Some of them,No,No,Yes,No,Young
235,No,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,Maybe,No,No,Young
236,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Yes,Don't know,No,Matured_Young
237,No,Yes,Somewhat difficult,No,No,Some of them,Yes,No,Yes,No,Yes,Matured_Young
238,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,Matured_Young
239,Yes,Yes,Don't know,No,No,Some of them,Yes,No,No,No,Yes,Young
240,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No,No,Young
241,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes,Matured_Young
242,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
243,No,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Yes,No,No,Young
244,Don't know,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Young
245,Yes,Yes,Don't know,Yes,Maybe,No,No,No,Maybe,No,Yes,Matured_Young
246,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No,Young
247,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,Young
248,No,Don't know,Don't know,Maybe,No,Yes,Yes,No,Yes,Don't know,No,Matured_Young
249,Don't know,Yes,Don't know,Maybe,No,Some of them,No,Maybe,Yes,Don't know,No,Young
250,Don't know,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No,Yes,Yes,No,Young
251,Don't know,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,Yes,Young
252,Don't know,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Young
253,Don't know,No,Very easy,Maybe,Maybe,Yes,Yes,No,No,Don't know,No,Young
254,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,Young
255,No,Don't know,Somewhat difficult,Yes,No,No,No,No,Maybe,Don't know,No,Young
256,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,Maybe,Yes,No,Young
257,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Matured_Young
258,No,Don't know,Don't know,Yes,No,Some of them,Some of them,No,Yes,No,No,Young
259,No,No,Very difficult,Yes,Maybe,No,No,No,Yes,No,Yes,Young
260,No,Yes,Don't know,Maybe,Maybe,Yes,No,No,Maybe,Don't know,No,Young
261,No,No,Very difficult,Yes,Yes,Some of them,Some of them,No,Maybe,No,No,Young
262,Yes,Yes,Don't know,No,No,Yes,Yes,Maybe,No,Yes,No,Young
263,No,Yes,Very difficult,Maybe,No,Some of them,Some of them,No,Yes,No,No,Young
264,No,Don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,Yes,Don't know,No,Matured_Young
265,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Don't know,No,Matured_Young
266,No,Don't know,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,Matured_Young
267,Don't know,Don't know,Very easy,Maybe,Maybe,Yes,Some of them,Maybe,Maybe,Don't know,Yes,Matured_Young
268,No,Yes,Don't know,Maybe,No,Some of them,Some of them,No,Yes,Don't know,No,Matured_Young
269,No,Don't know,Very easy,No,No,Yes,Yes,No,No,Don't know,No,Matured_Young
270,No,Don't know,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,No,No,Young
271,Don't know,Yes,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Young
272,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Yes,No,Young
273,No,Don't know,Somewhat easy,Maybe,Maybe,Yes,Some of them,No,No,Don't know,No,Matured_Young
274,No,Don't know,Don't know,Yes,No,No,No,No,Maybe,No,No,Matured_Young
275,Yes,Yes,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
276,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,Matured_Young
277,No,Don't know,Somewhat easy,Maybe,Maybe,No,Some of them,No,No,Don't know,No,Young
278,Don't know,Don't know,Very easy,Maybe,No,Some of them,Some of them,No,No,Yes,No,Young
279,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,No,No,Young
280,Yes,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,No,Yes,Young
281,No,Yes,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,Young
282,Don't know,Don't know,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,Young
283,No,Yes,Somewhat difficult,Yes,No,No,Some of them,No,Maybe,Don't know,No,Matured_Young
284,No,Don't know,Don't know,No,No,Some of them,Some of them,No,Yes,No,No,Young
285,No,Yes,Somewhat easy,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,No,Young
286,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Young
287,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,Young
288,No,Don't know,Don't know,No,Maybe,Some of them,No,No,No,Don't know,Yes,Matured_Young
289,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,No,Don't know,No,Young
